,processo,proponente,contrato,nota_de_empenho,valor_empenhado,valor_pago,saldo_do_empenho,consumo_%,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,tipo,prop_pk1,prop_pk2
129,,MINISTERIO DA EDUCACAO,GESAC,38/2021,16863198.0,0.0,19015810.374749824,0.0,,,,,,,,,,,,,Nota de Crédito,,
130,,MINISTERIO DA EDUCACAO,GESAC,39/2021,3681000.0,0.0,4150885.139903718,0.0,,,,,,,,,,,,,Nota de Crédito,,
131,,MINISTERIO DA JUSTICA,GESAC,40/2021,625930.5,0.0,705831.4618480044,0.0,,,,,,,,,,,,,Nota de Crédito,,
132,,MINISTERIO DO MEIO AMBIENTE,GESAC,41/2021,107800.0,0.0,121560.83077468644,0.0,,,,,,,,,,,,,Nota de Crédito,,
133,,PERPETUA ALMEIDA,GESAC,42/2021,414000.0,0.0,466847.71744638396,0.0,,,,,,,,,,,,,Nota de Crédito,,
134,,POLICIA RODOVIARIA FEDERAL RO,GESAC,43/2021,46400.0,0.0,52323.029201720325,0.0,,,,,,,,,,,,,Nota de Crédito,,
135,,ADOR CONFUCIO MOURA,GESAC,44/2021,343031.28,0.0,386819.73449447204,0.0,,,,,,,,,,,,,Nota de Crédito,,
136,,SERGIO PETECAO,GESAC,45/2021,284986.0,0.0,321364.88793279027,0.0,,,,,,,,,,,,,Nota de Crédito,,
137,,SORAYA THRONICKE,GESAC,46/2021,345000.0,0.0,389039.7645386533,0.0,,,,,,,,,,,,,Nota de Crédito,,
138,,ULDURICO JUNIOR,GESAC,47/2021,309000.0,0.0,348444.3108476634,0.0,,,,,,,,,,,,,Nota de Crédito,,
139,,BANCADA-DE ALAGOAS,WifiBrasil,48/2021,608000.0,0.0,685612.1067811629,0.0,,,,,,,,,,,,,Nota de Crédito,,
140,,BANCADA-DE ALAGOAS,WifiBrasil,49/2021,175000.0,0.0,197339.01099786762,0.0,,,,,,,,,,,,,Nota de Crédito,,
141,,BANCADA-DE ALAGOAS,WifiBrasil,50/2021,750000.0,0.0,845738.6185622897,0.0,,,,,,,,,,,,,Nota de Crédito,,
142,,BANCADA-DE MINAS GERAIS,WifiBrasil,51/2021,5200000.0,0.0,5863787.755365209,0.0,,,,,,,,,,,,,Nota de Crédito,,
143,,BANCADA-DE SAO PAULO,WifiBrasil,52/2021,695280.0,0.0,784033.5289519851,0.0,,,,,,,,,,,,,Nota de Crédito,,
144,,BANCADA-DO ESPIRITO SANTO,WifiBrasil,53/2021,783000.0,0.0,882951.1177790305,0.0,,,,,,,,,,,,,Nota de Crédito,,
145,,BANCADA-DO ESPIRITO SANTO,WifiBrasil,54/2021,840153.99,0.0,947400.8998429277,0.0,,,,,,,,,,,,,Nota de Crédito,,
146,,BANCADA-DO PARA,WifiBrasil,55/2021,184000.0,0.0,207487.8744206151,0.0,,,,,,,,,,,,,Nota de Crédito,,
147,,BANCADA-DO PARA,WifiBrasil,56/2021,312420.0,0.0,352300.8789483074,0.0,,,,,,,,,,,,,Nota de Crédito,,
148,,CORONEL CHRISOSTOMO,WifiBrasil,57/2021,61500.0,0.0,69350.56672210776,0.0,,,,,,,,,,,,,Nota de Crédito,,
149,,DIMAS FABIANO,WifiBrasil,58/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
150,,EDNA HENRIQUE,WifiBrasil,59/2021,92000.0,0.0,103743.93721030754,0.0,,,,,,,,,,,,,Nota de Crédito,,
151,,FABIO REIS,WifiBrasil,60/2021,41880.0,0.0,47226.04446051826,0.0,,,,,,,,,,,,,Nota de Crédito,,
152,,FLAVIA ARRUDA,WifiBrasil,61/2021,368544.0,0.0,415589.1912525607,0.0,,,,,,,,,,,,,Nota de Crédito,,
153,,GENERAL GIRAO,WifiBrasil,62/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
154,,JOSE NUNES,WifiBrasil,63/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
155,,JOSIVALDO JP,WifiBrasil,64/2021,48000.0,0.0,54127.27158798654,0.0,,,,,,,,,,,,,Nota de Crédito,,
156,,JUNIOR LOURENCO,WifiBrasil,65/2021,155000.0,0.0,174785.98116953988,0.0,,,,,,,,,,,,,Nota de Crédito,,
157,,LEO DE BRITO,WifiBrasil,66/2021,170000.0,0.0,191700.75354078566,0.0,,,,,,,,,,,,,Nota de Crédito,,
158,,LUCIANO BIVAR,WifiBrasil,67/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
