,prop_pk1,uf,partido,orgao,prop_1,prop_2,prop_3,prop_4,prop_pk2
96,RODRIGO SANTOS CUNHA,AL,PSDB,senado,RODRIGO CUNHA,,,,SEN. RODRIGO SANTOS CUNHA
97,RODRIGO PACHECO,MG,PSD,senado,,,,,SEN. RODRIGO PACHECO
98,ROGERIO CARVALHO,SE,PT,senado,,,,,SEN. ROGERIO CARVALHO
99,ROMARIO,RJ,PL,senado,,,,,SEN. ROMARIO
100,ROSE DE FREITAS,ES,MDB,senado,,,,,SEN. ROSE DE FREITAS
101,SERGIO PETECAO,AC,PSD,senado,SERGIO PETECAO,,,,SEN. SERGIO PETECAO
102,SIMONE TEBET,MS,MDB,senado,,,,,SEN. SIMONE TEBET
103,SORAYA THRONICKE,MS,PSL,senado,SORAYA THRONICKE,,,,SEN. SORAYA THRONICKE
104,STYVENSON VALENTIM,RN,PODEMOS,senado,,,,,SEN. STYVENSON VALENTIM
105,TELMARIO MOTA,RR,PROS,senado,,,,,SEN. TELMARIO MOTA
106,VANDERLAN CARDOSO,GO,PSD,senado,,,,,SEN. VANDERLAN CARDOSO
107,VENEZIANO VITAL DO REGO,PB,MDB,senado,,,,,SEN. VENEZIANO VITAL DO REGO
108,WELLINGTON FAGUNDES,MT,PL,senado,,,,,SEN. WELLINGTON FAGUNDES
109,WEVERTON,MA,PDT,senado,,,,,SEN. WEVERTON
110,ZENAIDE MAIA,RN,PROS,senado,,,,,SEN. ZENAIDE MAIA
111,ZEQUINHA MARINHO,PA,PSC,senado,,,,,SEN. ZEQUINHA MARINHO
112,JOSE ABILIO SILVA DE SANTANA,BA,PL,camara,,,,,DEP. JOSE ABILIO SILVA DE SANTANA
113,PAULO SERGIO ABOU ANNI,SP,PSL,camara,,,,,DEP. PAULO SERGIO ABOU ANNI
114,FLAVIA CAROLINA PERES,DF,PL,camara,FLAVIA ARRUDA,,,,DEP. FLAVIA CAROLINA PERES
115,ACACIO DA SILVA FAVACHO NETO,AP,PROS,camara,,,,,DEP. ACACIO DA SILVA FAVACHO NETO
116,ADOLFO VIANA DE CASTRO NETO,BA,PSDB,camara,,,,,DEP. ADOLFO VIANA DE CASTRO NETO
117,ADRIANA MIGUEL VENTURA,SP,NOVO,camara,,,,,DEP. ADRIANA MIGUEL VENTURA
118,ADRIANO ANTONIO AVELAR,GO,PP,camara,,,,,DEP. ADRIANO ANTONIO AVELAR
119,AECIO NEVES DA CUNHA,MG,PSDB,camara,,,,,DEP. AECIO NEVES DA CUNHA
120,AELTON JOSE DE FREITAS,MG,PL,camara,,,,,DEP. AELTON JOSE DE FREITAS
121,AFONSO BANDEIRA FLORENCE,BA,PT,camara,,,,,DEP. AFONSO BANDEIRA FLORENCE
122,JOSE ALFONSO EBERT HAMM,RS,PP,camara,,,,,DEP. JOSE ALFONSO EBERT HAMM
123,AFONSO ANTUNES DA MOTTA,RS,PDT,camara,,,,,DEP. AFONSO ANTUNES DA MOTTA
124,AGUINALDO VELLOSO BORGES RIBEIRO,PB,PP,camara,,,,,DEP. AGUINALDO VELLOSO BORGES RIBEIRO
125,AIRTON LUIZ FALEIRO,PA,PT,camara,,,,,DEP. AIRTON LUIZ FALEIRO
126,ANTONIO JOSE AGUIAR ALBUQUERQUE,CE,PP,camara,,,,,DEP. ANTONIO JOSE AGUIAR ALBUQUERQUE
127,ALAN RICK MIRANDA,AC,DEM,camara,,,,,DEP. ALAN RICK MIRANDA
128,ALCEU MOREIRA DA SILVA,RS,MDB,camara,,,,,DEP. ALCEU MOREIRA DA SILVA
129,ALCIDES RODRIGUES FILHO,GO,PATRIOTA,camara,,,,,DEP. ALCIDES RODRIGUES FILHO
130,ALESSANDRA DA SILVA,MG,PSL,camara,,,,,DEP. ALESSANDRA DA SILVA
131,ALENCAR SANTANA BRAGA,SP,PT,camara,,,,,DEP. ALENCAR SANTANA BRAGA
132,ALESSANDRO LUCCIOLA MOLON,RJ,PSB,camara,,,,,DEP. ALESSANDRO LUCCIOLA MOLON
133,ALEX SPINELLI MANENTE,SP,CIDADANIA,camara,,,,,DEP. ALEX SPINELLI MANENTE
134,ALEX MARCO SANTANA SOUSA,BA,PDT,camara,,,,,DEP. ALEX MARCO SANTANA SOUSA
135,ALEXANDRE FROTA DE ANDRADE,SP,PSDB,camara,,,,,DEP. ALEXANDRE FROTA DE ANDRADE
136,ALEXANDRE LEITE DA SILVA,SP,DEM,camara,,,,,DEP. ALEXANDRE LEITE DA SILVA
